web-scraper-order,web-scraper-start-url,item
"1566203434-944","https://study.baidu.com/tiku","[题目]
2014年6月，小明向小聪借款5万元，并向其出具借条一张，约定在一年内还清。2015年2月小明还款2万元，但余款一直拖着未还。多次催要未果后，小聪于2016年6月10日将小明诉至法院，请求法院判令小明在10日内归还余款3万元，并支付一定的违约金。
结合本案，运用《生活中的法律常识》的相关知识，回答下列问题：1.指出法院对小聪诉讼请求应持的态度。1.从合同履行的角度，说明小明的做法存在的不当之处。题型: 材料分析题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
生活在社会主义法治国家"
"1566203434-1026","https://study.baidu.com/tiku","[题目]
“美食园”饭店是甲市有一定知名度的餐馆，其店面装潢、服务员的制服、餐具、菜单等都形成了自己的特色。“美味园”饭店是一家新开业的餐馆，为了使生意兴隆，“美味园”饭店做了大量宣传，特别是在店前挂起了一条横幅，上面写着：“特聘美食园饭店一级厨师主厨，欢迎各位光临。”同时，其服务员的制服以及菜单等都与“美食园”饭店相似。

请运用反不正当竞争法的有关知识分析“美味园”饭店的做法。题型: 简答题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
劳动就业与守法经营"
"1566203434-1073","https://study.baidu.com/tiku","[题目]
为了实现宪法规定的公民的劳动权利，我国先后制订了以《中华人民共和国劳动法》为代表的一系列劳动法律、法规，其意义是(　　)。  ①确立了我国劳动力市场的基本法律原则　②为公民的合法劳动权益提供了有力的法律保障　③保证了公民不会失业　④为我们指明了就业的条条通途A①②③B①②④C①③④D②③④题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：知识点：
[知识点：]
劳动就业与守法经营"
"1566203434-1034","https://study.baidu.com/tiku","[题目]
家住二楼的李大姐出于安全考虑，把自家阳台的窗户全部安装了护栏，而且为养花方便，护栏距离窗户大约20厘米。她的这一行为却引起了住在三楼的孙大爷的不满，因为他担心小偷会顺着护栏侵入他家，甚至都不敢开窗通气了。在与李大姐交涉无果的情况下，孙大爷一纸诉状将李大姐告上法庭。法院经审理判决李大姐拆除或重新安装护栏。

请运用所学知识，谈谈法院作出以上判决的法律依据。题型: 简答题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
民事权利和义务"
"1566203434-1075","https://study.baidu.com/tiku","[题目]
伴随着“互联网＋”的新兴与普及，越来越多的自由职业者借助于互联网平台获取新的工作机会，从设计、软件、文案到美甲、家政等，无论体力劳动者还是脑力劳动者，都能找到自己的用武之地。发展这种全新的经济模式(      )
①便于劳动者更加灵活地选择就业     
②有利于促进劳动力资源优化配置
③便于政府对劳动力市场进行监管     
④有利于劳动者实现更高质量就业A①②B①③C②④D③④题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：A解析：知识点：
[知识点：]
劳动就业与守法经营"
"1566203434-964","https://study.baidu.com/tiku","[题目]
甲公司与乙公司签订一份秘密从境外购买免税香烟并运至国内销售的合同。甲公司依双方约定，按期将香烟运至境内，但乙公司提走货物后，以目前账上无钱为由，要求暂缓支付货款，甲公司同意。3个月后，乙公司仍未支付货款，甲公司多次索要无果，遂向当地人民法院起诉，要求乙公司支付货款并支付违约金。1.该合同是否具有法律效力?为什么?1.法院应如何处理这起案件?题型: 材料分析题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：【分析】本题考查关于无效合同的知识。合同法规定，即使按照要约——承诺的步骤订立的合同，如果出现某些不合法的情形，仍然导致合同不具有法律效力。本案中的合同是秘密交易免税香烟，这是违反国家法律、损害国家利益的合同，因此是无效合同。【点评】本题主要考查信守合同与违约，需要考生对基础知识熟练掌握。【分析】本题考查关于无效合同的知识。合同法规定，即使按照要约——承诺的步骤订立的合同，如果出现某些不合法的情形，仍然导致合同不具有法律效力。本案中的合同是秘密交易免税香烟，这是违反国家法律、损害国家利益的合同，因此是无效合同。【点评】本题主要考查信守合同与违约，需要考生对基础知识熟练掌握。知识点：
[知识点：]
信守合同与违约"
"1566203434-1072","https://study.baidu.com/tiku","[题目]
下列哪些行为属于不正当竞争行为(   )  ①假冒他人外观设计专利
②擅自使用知名商品特有的包装、装潢
③经营者利用广告对商品的质量、性能、用途等作引人误解的虚假宣传
④为刺激消费，商家对商品进行低价倾销或不当有奖销售A①②③B①②③④C②③④D①②④题型: 单选题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：B解析：知识点：
[知识点：]
劳动就业与守法经营"
"1566203434-967","https://study.baidu.com/tiku","[题目]
15岁的中学生小赵,因涉嫌抢劫被拘留。他的父母下岗,没钱请律师,找到了区法律援助中心。陈律师受中心指派和小赵父母的委托担任辩护人。他通过调查了解到,小赵为人老实,品学兼优,此次涉嫌犯罪很大程度是别人胁迫作案;且案发后有自首表现,能如实交代案件的情况。庭审时,陈律师在辩护词中认为,从一定角度看,小赵应该为此案的受害者,不构成犯罪。最终法院经过核实,判决小赵无罪。1.小赵父母无钱请律师,为什么还能请陈律师担任辩护人?1.除了上述形式,我国的法律援助还包括哪些形式?题型: 材料分析题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：【分析】本题以未成年人小赵的刑事诉讼案为背景,考查学生对我国法律援助制度的认识。第(1)问,首先阐述我国有关法律援助制度的规定,然后结合材料指出小赵符合哪项规定从而获得陈律师的免费帮助;第(2)问,主要是回答我国法律援助的主要形式。【点评】本题主要考查法律救济，需要考生对基础知识熟练掌握。【分析】本题以未成年人小赵的刑事诉讼案为背景,考查学生对我国法律援助制度的认识。第(1)问,首先阐述我国有关法律援助制度的规定,然后结合材料指出小赵符合哪项规定从而获得陈律师的免费帮助;第(2)问,主要是回答我国法律援助的主要形式。【点评】本题主要考查法律救济，需要考生对基础知识熟练掌握。知识点：
[知识点：]
法律救济"
"1566203434-998","https://study.baidu.com/tiku","[题目]
小王花150万元购买了一套房子，签订了购房协议，由于开发商的推脱，房产证迟迟没有办下来。后小王发现开发商又将同一套房子以180万元的价格卖给了李某，并帮助李某办理了房产证，遂找到开发商，开放商要求解除合同，并退还小王购房款，但小王坚持让开发商继续履行原购房合同，双方坚持不下，只好诉诸法院。
运用《生活中的法律常识》的知识，结合材料，回答下列问题：1.法院会不会支持小王的主张，并说明理由。1.指出开发商应当承担什么样的违约责任。题型: 材料分析题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
民事权利和义务"
"1566203434-949","https://study.baidu.com/tiku","[题目]
养鸡厂刘某与饲料加工厂宋某订立一份合同，其中规定，任何一方违约，应当支付对方违约金2万元，同时刘某交定金2万元。由于宋某在饲料中掺假，刘某拒绝购买其饲料，两人发生纠纷，刘某要求宋某双倍返还定金并支付违约金总计6万元，宋某指责刘某违约，定金不能返还，刘某还应该支付其2万元违约金，最后刘某把宋某告上法庭。1.上述案例中宋某违背了合同履行的什么原则？1.刘某能否在请求宋某承担违约金的同时又双倍返还定金？题型: 材料分析题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：【分析】本题考查合同履行的原则和违约金与定金的知识，记住相关合同法规定，结合材料，做到有理有据。【点评】本题主要考查信守合同与违约，需要考生对基础知识熟练掌握。【分析】本题考查合同履行的原则和违约金与定金的知识，记住相关合同法规定，结合材料，做到有理有据。【点评】本题主要考查信守合同与违约，需要考生对基础知识熟练掌握。知识点：
[知识点：]
信守合同与违约"
"1566203434-950","https://study.baidu.com/tiku","[题目]
       福建省光泽县李坊乡百岭村有一起山林纠纷，始发于2001年。乡林业站作现场规划时，发现百下组的一片山林山权应该是百上组的。百上组知悉情况后，遂要求收回山权。百下组认为此林系1982年百下组所造，林权应该是百下组的。由此，纠纷产生。期间，乡政府多次成立调查组调查协调未果，该村村民到省、市、县上访4次，经乡行政裁决2次，县法院判决1次，并历时7年及数次协调，均以失败告终。
针对此事，2007年8月，新一届李坊乡人民调解委员会人员从百上、百下两组村民同为邓氏宗族子孙入手，坚持以人为本，从感情入手，说服双方群众互相让步为上策进行调解，深深地触动了两组村民的心，最终促使双方握手言和。在双方互相让步的基础上达成协议：229亩森林砍伐按4∶6分成，山权按5∶5分成，百下组已砍伐的79亩归百下组，村集体机动山1 00亩归百上组。该村纠纷期间关闭达6年之久的邓氏祠堂已在酝酿重新开启。1.材料中的纠纷是通过什么方式解决的？从材料可以看出它具有什么样的内涵？1.结合材料，说明这种纠纷解决方式的突出作用。1.有人说，材料中的纠纷解决方式，就是“和事佬”去“和稀泥”。你怎么看？题型: 材料分析题|难度: 一般|使用次数: 0|纠错复制收藏到空间加入选题篮查看答案解析答案：解析：知识点：
[知识点：]
法律救济"
